region,source_file,name,theme,dessert,purpose,mood,must
담양,damyang_dessert_cafes_blog_links,1003디저트카페,대형카페|뷰맛집|포토존/인스타|테라스/야외|모던/깔끔|정원/가든,브런치/샌드위치|베이커리/빵|쿠키/구움과자|아이스크림/젤라또,브런치/식사|가족/키즈|드라이브/산책|데이트,조용함|쾌적함|아늑함|힐링,시그니처/대표메뉴|주차가능|키즈/유모차|테이크아웃
담양,damyang_dessert_cafes_blog_links,구름모자,한옥/전통|뷰맛집|모던/깔끔|포토존/인스타|정원/가든,아이스크림/젤라또,드라이브/산책|데이트|가족/키즈|브런치/식사,아늑함|조용함|쾌적함|힐링,주차가능|시그니처/대표메뉴
담양,damyang_dessert_cafes_blog_links,까망감,포토존/인스타|뷰맛집|테라스/야외|정원/가든|모던/깔끔|빈티지/레트로,베이커리/빵|케이크|아이스크림/젤라또|쿠키/구움과자,반려견동반|드라이브/산책|가족/키즈|모임/단체,아늑함|조용함|쾌적함|힐링,반려견동반|주차가능|시그니처/대표메뉴|예약/단체
담양,damyang_dessert_cafes_blog_links,달순,빈티지/레트로|뷰맛집|포토존/인스타|정원/가든,쿠키/구움과자|초콜릿/디저트특화|베이커리/빵,가족/키즈,아늑함,키즈/유모차
담양,damyang_dessert_cafes_blog_links,담다,대형카페|포토존/인스타|한옥/전통|정원/가든|루프탑|테라스/야외,베이커리/빵|케이크|쿠키/구움과자|초콜릿/디저트특화|브런치/샌드위치,드라이브/산책|모임/단체|가족/키즈|데이트,쾌적함|힐링|아늑함|조용함,주차가능|시그니처/대표메뉴|예약/단체|테이크아웃
담양,damyang_dessert_cafes_blog_links,담만장,테라스/야외|정원/가든|뷰맛집|포토존/인스타,,드라이브/산책|가족/키즈|반려견동반|모임/단체,조용함|힐링,키즈/유모차|반려견동반|주차가능|예약/단체
담양,damyang_dessert_cafes_blog_links,담순로153,대형카페|뷰맛집|포토존/인스타|테라스/야외|정원/가든|모던/깔끔,베이커리/빵|케이크|브런치/샌드위치|쿠키/구움과자|초콜릿/디저트특화|아이스크림/젤라또,가족/키즈|반려견동반|브런치/식사|데이트,쾌적함|아늑함|조용함|힐링,주차가능|키즈/유모차|반려견동반|시그니처/대표메뉴
담양,damyang_dessert_cafes_blog_links,담양 리사 카페,대형카페|뷰맛집|포토존/인스타|테라스/야외|정원/가든|모던/깔끔,베이커리/빵|케이크|마카롱,데이트|가족/키즈|드라이브/산책|모임/단체,힐링|아늑함|조용함|쾌적함,주차가능|시그니처/대표메뉴|예약/단체|키즈/유모차
담양,damyang_dessert_cafes_blog_links,담양밤부리,포토존/인스타|정원/가든|대형카페|테라스/야외|모던/깔끔|뷰맛집,브런치/샌드위치|베이커리/빵|초콜릿/디저트특화,브런치/식사|가족/키즈|모임/단체|드라이브/산책,조용함|힐링|쾌적함|아늑함,주차가능|시그니처/대표메뉴|예약/단체|키즈/유모차
담양,damyang_dessert_cafes_blog_links,담월,빈티지/레트로|포토존/인스타|테라스/야외,,가족/키즈,조용함|아늑함,키즈/유모차
담양,damyang_dessert_cafes_blog_links,담화,대형카페|포토존/인스타|모던/깔끔|정원/가든|뷰맛집|테라스/야외,브런치/샌드위치|베이커리/빵|케이크|쿠키/구움과자|초콜릿/디저트특화,브런치/식사|가족/키즈|드라이브/산책|데이트,쾌적함|힐링|조용함|아늑함,주차가능|시그니처/대표메뉴|키즈/유모차|테이크아웃
담양,damyang_dessert_cafes_blog_links,대담,대형카페|정원/가든|뷰맛집|루프탑|포토존/인스타|테라스/야외,케이크|쿠키/구움과자|브런치/샌드위치|초콜릿/디저트특화|베이커리/빵,드라이브/산책|모임/단체|가족/키즈|데이트,힐링|조용함|아늑함,시그니처/대표메뉴|주차가능|예약/단체
담양,damyang_dessert_cafes_blog_links,돌담,한옥/전통|포토존/인스타|정원/가든|빈티지/레트로|뷰맛집|테라스/야외,케이크|베이커리/빵,가족/키즈|드라이브/산책|모임/단체|데이트,조용함|아늑함|힐링|쾌적함,주차가능|시그니처/대표메뉴|키즈/유모차|테이크아웃
